#  E (eV)   dos(E)     Int dos(E)
-46.980  0.2640E-83  0.8025E-83
-46.960  0.2640E-83  0.8078E-83
-46.940  0.2640E-83  0.8130E-83
-46.920  0.2640E-83  0.8183E-83
-46.900  0.2640E-83  0.8236E-83
-46.880  0.2640E-83  0.8289E-83
-46.860  0.2640E-83  0.8342E-83
-46.840  0.2640E-83  0.8394E-83
-46.820  0.2640E-83  0.8447E-83
-46.800  0.2640E-83  0.8500E-83
-46.780  0.2640E-83  0.8553E-83
-46.760  0.2640E-83  0.8606E-83
-46.740  0.2640E-83  0.8658E-83
-46.720  0.2640E-83  0.8711E-83
-46.700  0.2640E-83  0.8764E-83
-46.680  0.2640E-83  0.8817E-83
-46.660  0.2640E-83  0.8870E-83
-46.640  0.2640E-83  0.8922E-83
-46.620  0.2640E-83  0.8975E-83
-46.600  0.2640E-83  0.9028E-83
-46.580  0.2640E-83  0.9081E-83
-46.560  0.2640E-83  0.9134E-83
-46.540  0.2640E-83  0.9186E-83
-46.520  0.2640E-83  0.9239E-83
-46.500  0.2640E-83  0.9292E-83
-46.480  0.2640E-83  0.9345E-83
-46.460  0.2640E-83  0.9398E-83
-46.440  0.2640E-83  0.9450E-83
-46.420  0.2640E-83  0.9503E-83
-46.400  0.2640E-83  0.9556E-83
-46.380  0.2640E-83  0.9609E-83
-46.360  0.2640E-83  0.9662E-83
-46.340  0.2640E-83  0.9714E-83
-46.320  0.2640E-83  0.9767E-83
-46.300  0.2640E-83  0.9820E-83
-46.280  0.2640E-83  0.9873E-83
-46.260  0.2640E-83  0.9926E-83
-46.240  0.2640E-83  0.9978E-83
-46.220  0.2640E-83  0.1003E-82
-46.200  0.2640E-83  0.1008E-82
-46.180  0.2640E-83  0.1014E-82
-46.160  0.2640E-83  0.1019E-82
-46.140  0.2640E-83  0.1024E-82
-46.120  0.2640E-83  0.1030E-82
-46.100  0.2640E-83  0.1035E-82
-46.080  0.2640E-83  0.1040E-82
-46.060  0.2640E-83  0.1045E-82
-46.040  0.2640E-83  0.1051E-82
-46.020  0.2640E-83  0.1056E-82
-46.000  0.2640E-83  0.1061E-82
-45.980  0.2640E-83  0.1066E-82
-45.960  0.2640E-83  0.1072E-82
-45.940  0.2640E-83  0.1077E-82
-45.920  0.2640E-83  0.1082E-82
-45.900  0.2640E-83  0.1088E-82
-45.880  0.2640E-83  0.1093E-82
-45.860  0.2640E-83  0.1098E-82
-45.840  0.2640E-83  0.1103E-82
-45.820  0.2640E-83  0.1109E-82
-45.800  0.2640E-83  0.1114E-82
-45.780  0.2640E-83  0.1119E-82
-45.760  0.2640E-83  0.1125E-82
-45.740  0.2640E-83  0.1130E-82
-45.720  0.2640E-83  0.1135E-82
-45.700  0.2640E-83  0.1140E-82
-45.680  0.2640E-83  0.1146E-82
-45.660  0.2640E-83  0.1151E-82
-45.640  0.2640E-83  0.1156E-82
-45.620  0.2640E-83  0.1161E-82
-45.600  0.2640E-83  0.1167E-82
-45.580  0.2640E-83  0.1172E-82
-45.560  0.2640E-83  0.1177E-82
-45.540  0.2640E-83  0.1183E-82
-45.520  0.2640E-83  0.1188E-82
-45.500  0.2640E-83  0.1193E-82
-45.480  0.2640E-83  0.1198E-82
-45.460  0.2640E-83  0.1204E-82
